,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
500, Citigo,4,1.0,5991,0,1,0,0,1
501, Fabia,5,1.2,5700,0,1,0,0,1
502, Yeti Outdoor,6,2.0,8998,0,1,0,1,0
503, Fabia,4,1.2,8398,0,1,0,0,1
504, Kodiaq,3,2.0,16898,0,1,0,1,0
505, Fabia,4,1.2,8298,0,1,0,0,1
506, Fabia,2,1.0,7490,0,1,0,0,1
507, Octavia,3,2.0,11910,0,1,0,1,0
508, Superb,3,2.0,17998,0,0,1,0,1
509, Fabia,2,1.0,9298,0,1,0,0,1
510, Citigo,4,1.0,6500,0,1,0,0,1
511, Yeti Outdoor,5,2.0,8995,0,1,0,1,0
512, Citigo,6,1.0,4498,0,1,0,0,1
513, Citigo,2,1.0,7498,0,1,0,0,1
514, Karoq,1,2.0,26112,1,0,0,1,0
515, Fabia,3,1.2,8291,0,1,0,0,1
516, Fabia,2,1.0,9298,0,1,0,0,1
517, Octavia,2,1.6,12498,0,1,0,1,0
518, Octavia,2,1.6,12498,0,1,0,1,0
519, Octavia,4,1.2,9998,0,1,0,0,1
520, Karoq,1,2.0,23991,0,1,0,1,0
521, Octavia,3,1.0,10250,0,1,0,0,1
522, Karoq,1,2.0,24396,0,1,0,1,0
523, Fabia,4,1.0,6498,0,1,0,0,1
524, Fabia,5,1.0,6298,0,1,0,0,1
525, Fabia,2,1.0,9298,0,1,0,0,1
